交易日期,开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),开始日累计涨跌,开始日累计涨跌幅,成交量(万股),成交额(万元),持仓量,arima_pred_logret,arima_true_logret,arima_pred_price
2004-12-31,,,,1000.0,,-0.4,,-0.4,,,,,,
2005-01-04,994.77,994.77,980.66,982.79,-17.21,-1.72,,-2.11,74128.69,443197.74,,,,
2005-01-05,981.58,997.32,979.88,992.56,9.77,0.99,,-1.14,71191.09,452920.82,,,,
2005-01-06,993.33,993.79,980.33,983.17,-9.39,-0.95,,-2.07,62880.29,392101.54,,,,
2005-01-07,983.05,995.71,979.81,983.96,0.78,0.08,,-2.0,72986.94,473746.94,,,,
2005-01-10,983.76,993.96,979.79,993.88,9.92,1.01,,-1.01,57916.98,376293.29,,,,
2005-01-11,994.19,999.55,991.09,997.14,3.26,0.33,,-0.68,58490.8,370407.67,,,,
2005-01-12,996.65,996.98,989.26,996.75,-0.39,-0.04,,-0.72,50145.25,309329.97,,,,
2005-01-13,996.08,999.47,992.7,996.88,0.13,0.01,,-0.71,60440.66,384217.33,,,,
2005-01-14,996.62,1006.46,987.23,988.31,-8.57,-0.86,,-1.56,72978.42,416292.12,,,,
2005-01-17,979.11,981.53,965.08,967.45,-20.85,-2.11,,-3.64,72881.89,424980.78,,,,
2005-01-18,967.37,974.87,960.29,974.69,7.24,0.75,,-2.92,73118.48,411794.41,,,,
2005-01-19,974.33,974.33,965.26,967.21,-7.48,-0.77,,-3.66,63380.91,342795.13,,,,
2005-01-20,963.21,963.21,952.23,956.25,-10.97,-1.13,,-4.76,77271.07,439935.06,,,,
2005-01-21,954.46,984.27,943.44,982.6,26.36,2.76,,-2.13,144500.6,815208.61,,,,
2005-01-24,1001.85,1001.85,986.24,998.13,15.53,1.58,,-0.58,143594.62,836016.15,,,,
2005-01-25,995.64,997.95,985.24,997.78,-0.36,-0.04,,-0.62,98625.29,615702.24,,,,
2005-01-26,995.78,999.47,988.48,989.93,-7.85,-0.79,,-1.4,76632.9,471944.04,,,,
2005-01-27,987.34,987.7,973.77,974.63,-15.3,-1.55,,-2.92,69453.65,409439.89,,,,
2005-01-28,974.63,975.62,965.21,969.21,-5.42,-0.56,,-3.46,57488.07,328095.03,,,,
2005-01-31,965.79,965.79,953.14,954.88,-14.33,-1.48,,-4.89,67887.06,386357.36,,,,
2005-02-01,953.33,965.48,952.74,955.95,1.07,0.11,,-4.78,74330.67,427570.68,,,,
2005-02-02,956.7,1006.93,956.7,1006.91,50.96,5.33,,0.29,170573.39,1020290.43,,,,
2005-02-03,1005.56,1014.19,992.16,993.22,-13.7,-1.36,,-1.07,169745.39,1005731.03,,,,
2005-02-04,992.25,1021.03,989.94,1016.86,23.64,2.38,,1.28,157362.15,954987.06,,,,
2005-02-16,1023.32,1033.25,1018.49,1023.58,6.73,0.66,,1.95,121312.93,743816.82,,,,
