Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),unnamed_12,unnamed_13
000300.SH,20020104,1,0.0,0.0,0.0,0.0,1316.46,0.0,0.0,0.0,0.0,32150,20020104180000000
000300.SH,20020107,1,1316.46,0.0,0.0,0.0,1302.08,-14.37,-1.0916,0.0,0.0,32150,20020107180000000
000300.SH,20020108,1,1302.08,0.0,0.0,0.0,1292.71,-9.37,-0.7196,0.0,0.0,32150,20020108180000000
000300.SH,20020109,1,1292.71,0.0,0.0,0.0,1272.64,-20.07,-1.5525,0.0,0.0,32150,20020109180000000
000300.SH,20020110,1,1272.64,0.0,0.0,0.0,1281.26,8.62,0.677,0.0,0.0,32150,20020110180000000
000300.SH,20020111,1,1281.26,0.0,0.0,0.0,1249.81,-31.45,-2.4544,0.0,0.0,32150,20020111180000000
000300.SH,20020114,1,1249.81,0.0,0.0,0.0,1205.15,-44.67,-3.574,0.0,0.0,32150,20020114180000000
000300.SH,20020115,1,1205.15,0.0,0.0,0.0,1186.43,-18.71,-1.5528,0.0,0.0,32150,20020115180000000
000300.SH,20020116,1,1186.43,0.0,0.0,0.0,1201.88,15.44,1.3017,0.0,0.0,32150,20020116180000000
000300.SH,20020117,1,1201.88,0.0,0.0,0.0,1152.15,-49.73,-4.1376,0.0,0.0,32150,20020117180000000
000300.SH,20020118,1,1152.15,0.0,0.0,0.0,1149.48,-2.66,-0.2313,0.0,0.0,32150,20020118180000000
000300.SH,20020121,1,1149.48,0.0,0.0,0.0,1108.61,-40.87,-3.5558,0.0,0.0,32150,20020121180000000
000300.SH,20020122,1,1108.61,0.0,0.0,0.0,1109.99,1.38,0.1248,0.0,0.0,32150,20020122180000000
000300.SH,20020123,1,1109.99,0.0,0.0,0.0,1183.15,73.16,6.591,0.0,0.0,32150,20020123180000000
000300.SH,20020124,1,1183.15,0.0,0.0,0.0,1189.58,6.43,0.5434,0.0,0.0,32150,20020124180000000
000300.SH,20020125,1,1189.58,0.0,0.0,0.0,1189.43,-0.16,-0.013,0.0,0.0,32150,20020125180000000
000300.SH,20020128,1,1189.43,0.0,0.0,0.0,1112.84,-76.59,-6.4395,0.0,0.0,32150,20020128180000000
000300.SH,20020129,1,1112.84,0.0,0.0,0.0,1140.38,27.54,2.4749,0.0,0.0,32150,20020129180000000
000300.SH,20020130,1,1140.38,0.0,0.0,0.0,1145.86,5.48,0.4804,0.0,0.0,32150,20020130180000000
000300.SH,20020131,1,1145.86,0.0,0.0,0.0,1221.76,75.9,6.6243,0.0,0.0,32150,20020131180000000
