Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),gsid,gudt
000905.SH,2004/12/31,1,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,32357,20041231180000000
000905.SH,2005/01/04,1,1000.0,996.68,996.68,984.8,986.93,-13.07,-1.3073,23237.62,1329187.122,32357,20050104180000000
000905.SH,2005/01/05,1,986.93,986.57,1008.86,985.68,1003.63,16.71,1.6927,34861.01,1919861.791,32357,20050105180000000
000905.SH,2005/01/06,1,1003.63,1003.49,1003.49,990.79,994.6,-9.04,-0.9005,29339.05,1629216.031,32357,20050106180000000
000905.SH,2005/01/07,1,994.6,993.43,1009.0,990.45,997.61,3.01,0.3027,33916.26,1906530.712,32357,20050107180000000
000905.SH,2005/01/10,1,997.61,996.93,1006.46,993.12,1006.34,8.73,0.8752,29494.05,1650218.869,32357,20050110180000000
000905.SH,2005/01/11,1,1006.34,1006.21,1009.5,999.86,1008.34,2.01,0.1993,31361.15,1778497.883,32357,20050111180000000
000905.SH,2005/01/12,1,1008.34,1008.01,1008.74,998.36,1008.62,0.28,0.0275,31963.93,1825638.693,32357,20050112180000000
000905.SH,2005/01/13,1,1008.62,1008.1,1014.84,1005.35,1013.07,4.45,0.4412,47157.33,2716827.481,32357,20050113180000000
000905.SH,2005/01/14,1,1013.07,1012.7,1019.48,999.27,1000.17,-12.9,-1.2735,40169.37,2284638.759,32357,20050114180000000
000905.SH,2005/01/17,1,1000.17,990.99,991.02,974.33,977.52,-22.65,-2.2643,43586.03,2418653.726,32357,20050117180000000
000905.SH,2005/01/18,1,977.52,977.6,991.84,974.15,991.42,13.9,1.4217,45161.32,2523669.419,32357,20050118180000000
000905.SH,2005/01/19,1,991.42,991.29,991.29,981.23,986.24,-5.18,-0.5223,42552.49,2304569.213,32357,20050119180000000
000905.SH,2005/01/20,1,986.24,983.2,983.2,966.89,972.46,-13.78,-1.397,46520.48,2588992.483,32357,20050120180000000
000905.SH,2005/01/21,1,972.46,971.5,989.72,951.43,988.52,16.06,1.6511,61852.55,3412342.279,32357,20050121180000000
000905.SH,2005/01/24,1,988.52,1009.95,1009.95,998.37,1008.18,19.66,1.9884,73233.55,4105828.975,32357,20050124180000000
000905.SH,2005/01/25,1,1008.18,1006.0,1006.0,989.95,999.55,-8.62,-0.8552,46948.03,2651186.737,32357,20050125180000000
000905.SH,2005/01/26,1,999.55,997.64,997.64,985.67,987.96,-11.6,-1.1603,41139.0,2238628.613,32357,20050126180000000
000905.SH,2005/01/27,1,987.96,986.15,986.15,970.35,971.37,-16.58,-1.6784,41232.13,2214822.674,32357,20050127180000000
000905.SH,2005/01/28,1,971.37,971.37,971.94,949.11,952.41,-18.96,-1.9519,40723.73,2106037.353,32357,20050128180000000
000905.SH,2005/01/31,1,952.41,948.44,948.44,921.58,922.65,-29.76,-3.1247,40950.99,2058937.471,32357,20050131180000000
000905.SH,2005/02/01,1,922.65,919.8,929.69,911.93,913.33,-9.32,-1.0103,41997.45,2076599.356,32357,20050201180000000
000905.SH,2005/02/02,1,913.33,913.02,964.42,913.02,964.24,50.91,5.5743,65535.66,3522826.077,32357,20050202180000000
000905.SH,2005/02/03,1,964.24,963.75,967.94,944.76,945.31,-18.93,-1.9633,63713.0,3476526.549,32357,20050203180000000
000905.SH,2005/02/04,1,945.31,944.45,963.81,943.47,962.03,16.72,1.7683,51930.13,2874284.614,32357,20050204180000000
000905.SH,2005/02/16,1,962.03,967.43,979.3,965.94,972.34,10.31,1.0716,46933.22,2555290.412,32357,20050216180000000
000905.SH,2005/02/17,1,972.34,971.84,977.44,964.32,977.27,4.93,0.5075,40319.58,2081885.379,32357,20050217180000000
000905.SH,2005/02/18,1,977.27,977.12,977.12,964.55,964.77,-12.5,-1.2794,41128.11,2134898.913,32357,20050218180000000
000905.SH,2005/02/21,1,964.77,965.0,981.89,964.47,981.82,17.05,1.7673,47652.03,2568576.863,32357,20050221180000000
000905.SH,2005/02/22,1,981.82,982.42,1008.67,980.5,1007.69,25.87,2.6348,95757.89,5328306.279,32357,20050222180000000
000905.SH,2005/02/23,1,1007.69,1008.29,1023.33,1002.8,1019.26,11.57,1.1482,102018.23,5822771.921,32357,20050223180000000
000905.SH,2005/02/24,1,1019.26,1018.29,1024.87,1012.44,1024.45,5.19,0.509,86832.32,4874675.166,32357,20050224180000000
000905.SH,2005/02/25,1,1024.45,1024.57,1035.47,1023.74,1024.12,-0.33,-0.032,96507.61,5608389.732,32357,20050225180000000
000905.SH,2005/02/28,1,1024.12,1023.19,1026.04,1014.94,1020.85,-3.27,-0.3194,70280.51,4174609.104,32357,20050228180000000
000905.SH,2005/03/01,1,1020.85,1020.6,1023.96,1011.56,1021.16,0.32,0.0309,66756.36,3803211.754,32357,20050301180000000
000905.SH,2005/03/02,1,1021.16,1021.36,1028.33,1005.34,1006.15,-15.01,-1.4703,74579.71,4197819.828,32357,20050302180000000
000905.SH,2005/03/03,1,1006.15,1004.1,1011.7,996.36,1011.29,5.14,0.5109,53724.94,2991525.954,32357,20050303180000000
000905.SH,2005/03/04,1,1011.29,1011.2,1012.66,1001.85,1003.21,-8.08,-0.7988,45251.89,2551598.958,32357,20050304180000000
000905.SH,2005/03/07,1,1003.21,1004.34,1008.36,1001.86,1006.95,3.74,0.3731,44751.4,2595513.439,32357,20050307180000000
000905.SH,2005/03/08,1,1006.95,1007.68,1029.46,1007.68,1029.46,22.5,2.2349,71870.07,4502177.472,32357,20050308180000000
000905.SH,2005/03/09,1,1029.46,1031.6,1034.62,1024.89,1032.55,3.09,0.3004,82578.22,5012633.412,32357,20050309180000000
000905.SH,2005/03/10,1,1032.55,1032.27,1032.27,1002.42,1005.54,-27.0,-2.6154,71060.2,4259483.416,32357,20050310180000000
000905.SH,2005/03/11,1,1005.54,1003.78,1010.86,999.11,1009.43,3.89,0.3868,59553.1,3681413.477,32357,20050311180000000
000905.SH,2005/03/14,1,1009.43,1009.18,1016.54,991.06,1007.77,-1.67,-0.1652,75505.03,4838849.569,32357,20050314180000000
000905.SH,2005/03/15,1,1007.77,1007.89,1007.89,992.02,993.83,-13.94,-1.3828,64995.68,4049428.975,32357,20050315180000000
000905.SH,2005/03/16,1,993.83,992.64,992.64,977.13,983.92,-9.91,-0.9977,53119.64,3199203.625,32357,20050316180000000
000905.SH,2005/03/17,1,983.92,983.1,984.25,970.34,970.97,-12.95,-1.3162,53133.07,3178910.836,32357,20050317180000000
000905.SH,2005/03/18,1,970.97,969.12,973.1,945.6,949.51,-21.46,-2.2099,53939.17,3123548.577,32357,20050318180000000
000905.SH,2005/03/21,1,949.51,947.57,952.76,940.09,949.55,0.04,0.0046,41921.9,2502435.568,32357,20050321180000000
000905.SH,2005/03/22,1,949.55,948.78,949.07,918.09,922.56,-26.99,-2.8423,57950.13,3283723.31,32357,20050322180000000
000905.SH,2005/03/23,1,922.56,921.07,937.68,914.54,923.19,0.63,0.0683,52902.83,3122090.437,32357,20050323180000000
000905.SH,2005/03/24,1,923.19,922.18,933.92,914.65,933.35,10.15,1.0998,43192.01,2510676.346,32357,20050324180000000
000905.SH,2005/03/25,1,933.35,933.17,936.12,927.18,931.42,-1.93,-0.2068,41898.44,2271998.365,32357,20050325180000000
000905.SH,2005/03/28,1,931.42,930.17,930.17,909.17,922.92,-8.49,-0.9119,40195.7,2155906.688,32357,20050328180000000
000905.SH,2005/03/29,1,922.92,922.66,929.46,916.65,916.81,-6.11,-0.6622,36985.67,1999394.257,32357,20050329180000000
000905.SH,2005/03/30,1,916.81,915.09,915.09,887.98,888.95,-27.86,-3.039,46894.95,2457661.169,32357,20050330180000000
000905.SH,2005/03/31,1,888.95,887.07,896.41,880.88,896.07,7.12,0.8008,41256.13,2042255.429,32357,20050331180000000
000905.SH,2005/04/01,1,896.07,895.23,934.55,884.63,927.55,31.48,3.5129,69217.93,3665270.899,32357,20050401180000000
000905.SH,2005/04/04,1,927.55,919.14,920.62,904.62,909.87,-17.68,-1.9057,53338.38,2893226.429,32357,20050404180000000
000905.SH,2005/04/05,1,909.87,908.18,912.38,899.8,901.74,-8.13,-0.8931,45725.02,2391142.553,32357,20050405180000000
000905.SH,2005/04/06,1,901.74,901.74,921.64,893.03,918.56,16.81,1.8645,68050.27,3830190.11,32357,20050406180000000
000905.SH,2005/04/07,1,918.56,919.24,945.57,917.63,932.33,13.78,1.4997,95402.35,5349441.629,32357,20050407180000000
000905.SH,2005/04/08,1,932.33,931.77,949.47,928.06,949.46,17.12,1.8367,79973.8,4357191.759,32357,20050408180000000
000905.SH,2005/04/11,1,949.46,949.85,957.34,943.72,948.51,-0.95,-0.0998,86882.42,4741992.562,32357,20050411180000000
000905.SH,2005/04/12,1,948.51,947.12,947.12,927.11,927.41,-21.1,-2.2244,60399.66,3247372.938,32357,20050412180000000
000905.SH,2005/04/13,1,927.41,932.31,951.2,932.31,950.23,22.82,2.4605,81410.86,4490048.505,32357,20050413180000000
000905.SH,2005/04/14,1,950.23,952.54,954.14,934.13,935.42,-14.8,-1.5579,69836.87,3795040.134,32357,20050414180000000
000905.SH,2005/04/15,1,935.42,931.67,931.67,911.32,913.27,-22.15,-2.3683,66615.96,3459646.367,32357,20050415180000000
000905.SH,2005/04/18,1,913.27,910.89,910.89,895.28,901.12,-12.15,-1.3307,50032.69,2575525.21,32357,20050418180000000
000905.SH,2005/04/19,1,901.12,899.93,905.05,893.29,902.78,1.67,0.185,47986.02,2427298.091,32357,20050419180000000
000905.SH,2005/04/20,1,902.78,902.22,902.22,880.93,884.08,-18.7,-2.0716,53216.5,2598639.279,32357,20050420180000000
000905.SH,2005/04/21,1,884.08,881.68,886.44,863.14,867.33,-16.76,-1.8952,62503.49,3136724.162,32357,20050421180000000
000905.SH,2005/04/22,1,867.33,865.82,870.0,851.34,857.4,-9.93,-1.1445,62248.84,3135517.46,32357,20050422180000000
000905.SH,2005/04/25,1,857.4,846.14,847.81,829.55,841.06,-16.34,-1.9061,58198.61,2874936.589,32357,20050425180000000
000905.SH,2005/04/26,1,841.06,839.25,858.11,835.86,855.24,14.18,1.6862,61999.55,2916330.757,32357,20050426180000000
000905.SH,2005/04/27,1,855.24,857.95,857.95,839.56,839.95,-15.29,-1.7875,59436.54,2978917.961,32357,20050427180000000
000905.SH,2005/04/28,1,839.95,837.38,863.45,825.51,860.62,20.66,2.46,76431.12,3771427.201,32357,20050428180000000
000905.SH,2005/04/29,1,860.62,860.39,860.39,845.44,847.61,-13.0,-1.5111,60136.85,2897477.422,32357,20050429180000000
000905.SH,2005/05/09,1,847.61,848.09,851.21,818.1,818.4,-29.21,-3.4464,42061.0,2068561.512,32357,20050509180000000
000905.SH,2005/05/10,1,818.4,814.76,818.5,791.1,818.09,-0.31,-0.038,49469.35,2367569.44,32357,20050510180000000
000905.SH,2005/05/11,1,818.09,816.82,822.77,809.58,811.57,-6.52,-0.7967,46375.79,2279227.682,32357,20050511180000000
000905.SH,2005/05/12,1,811.57,810.16,814.89,799.82,807.51,-4.06,-0.5003,45971.05,2220225.105,32357,20050512180000000
000905.SH,2005/05/13,1,807.51,806.73,819.42,801.87,814.88,7.37,0.9124,51975.28,2399090.157,32357,20050513180000000
000905.SH,2005/05/16,1,814.88,814.06,814.06,802.82,808.17,-6.71,-0.8231,45375.02,2010607.218,32357,20050516180000000
000905.SH,2005/05/17,1,808.17,806.81,821.05,803.42,818.46,10.28,1.2725,49550.81,2184321.836,32357,20050517180000000
000905.SH,2005/05/18,1,818.46,818.12,824.77,811.04,824.64,6.19,0.7561,45580.77,1982282.524,32357,20050518180000000
000905.SH,2005/05/19,1,824.64,824.83,828.58,814.15,824.94,0.3,0.036,47762.76,2170371.655,32357,20050519180000000
000905.SH,2005/05/20,1,824.94,824.57,828.08,818.36,819.13,-5.81,-0.7043,43275.22,1945065.867,32357,20050520180000000
000905.SH,2005/05/23,1,819.13,816.2,816.2,793.05,793.72,-25.41,-3.1016,43127.15,1802802.915,32357,20050523180000000
000905.SH,2005/05/24,1,793.72,791.13,811.67,788.82,808.74,15.02,1.8922,46952.92,1976718.785,32357,20050524180000000
000905.SH,2005/05/25,1,808.74,808.52,817.67,803.94,809.7,0.95,0.118,52945.37,2206568.91,32357,20050525180000000
000905.SH,2005/05/26,1,809.7,808.66,812.69,795.42,799.02,-10.67,-1.3181,48387.87,2104358.596,32357,20050526180000000
000905.SH,2005/05/27,1,799.02,797.18,806.25,789.86,791.0,-8.03,-1.0045,41676.31,1818239.407,32357,20050527180000000
000905.SH,2005/05/30,1,791.0,788.64,799.4,783.85,797.53,6.53,0.826,38487.08,1627664.116,32357,20050530180000000
000905.SH,2005/05/31,1,797.53,798.33,802.04,793.88,796.87,-0.66,-0.0828,42997.36,1769831.486,32357,20050531180000000
000905.SH,2005/06/01,1,796.87,795.82,795.82,774.35,778.67,-18.2,-2.2837,46487.27,1920798.554,32357,20050601180000000
000905.SH,2005/06/02,1,778.67,777.47,779.23,764.15,769.42,-9.25,-1.1882,49506.38,2099951.737,32357,20050602180000000
000905.SH,2005/06/03,1,769.42,767.67,772.83,755.26,765.97,-3.45,-0.4489,45863.15,1841785.231,32357,20050603180000000
000905.SH,2005/06/06,1,765.97,764.66,778.4,751.32,778.21,12.24,1.5984,47635.42,1973905.289,32357,20050606180000000
000905.SH,2005/06/07,1,778.21,779.72,795.42,776.12,779.84,1.63,0.21,70873.0,3116981.334,32357,20050607180000000
000905.SH,2005/06/08,1,779.84,782.01,845.06,782.01,841.36,61.52,7.8882,149735.44,6612786.78,32357,20050608180000000
000905.SH,2005/06/09,1,841.36,840.23,858.75,829.28,849.72,8.36,0.9942,153114.51,7083905.756,32357,20050609180000000
000905.SH,2005/06/10,1,849.72,850.02,850.02,827.75,831.6,-18.12,-2.1325,100359.48,4618584.575,32357,20050610180000000
