Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),unnamed_12,unnamed_13
399006.SZ,20100531,1,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,33361,20100531180000000
399006.SZ,20100601,1,1000.0,986.02,994.79,948.12,973.23,-26.77,-2.6767,13562.85,4924176.8389,33361,20100601180000000
399006.SZ,20100602,1,973.23,967.61,997.12,952.61,997.12,23.89,2.4543,10746.27,4001206.1608,33361,20100602180000000
399006.SZ,20100603,1,997.12,1002.36,1026.7,997.78,998.39,1.27,0.1279,16168.05,6240835.4959,33361,20100603180000000
399006.SZ,20100604,1,998.39,989.68,1027.68,986.5,1027.68,29.29,2.9334,15002.95,5269440.6441,33361,20100604180000000
399006.SZ,20100607,1,1027.68,1005.03,1075.22,1001.7,1069.47,41.79,4.0661,26552.75,9106094.7234,33361,20100607180000000
399006.SZ,20100608,1,1069.47,1067.32,1075.5,1050.96,1067.15,-2.31,-0.2164,19767.2,6621994.2953,33361,20100608180000000
399006.SZ,20100609,1,1067.15,1070.85,1102.1,1069.43,1077.82,10.67,0.9998,25415.68,8994866.3957,33361,20100609180000000
399006.SZ,20100610,1,1077.82,1077.68,1119.11,1076.28,1117.48,39.66,3.6792,21974.04,8242731.1002,33361,20100610180000000
399006.SZ,20100611,1,1117.48,1122.44,1128.23,1118.71,1122.2,4.72,0.4225,22248.74,8449039.1559,33361,20100611180000000
399006.SZ,20100617,1,1122.2,1126.13,1129.68,1064.84,1064.84,-57.36,-5.1114,17642.83,6757409.3164,33361,20100617180000000
399006.SZ,20100618,1,1064.84,1052.07,1053.14,993.17,1000.28,-64.56,-6.0631,16306.5,5827721.3673,33361,20100618180000000
399006.SZ,20100621,1,1000.28,991.96,1043.16,976.41,1040.8,40.52,4.0514,15747.97,5604269.4473,33361,20100621180000000
399006.SZ,20100622,1,1040.8,1037.04,1057.36,1033.65,1034.99,-5.81,-0.5579,14271.62,5067480.2919,33361,20100622180000000
399006.SZ,20100623,1,1034.99,1026.86,1056.35,1023.74,1047.34,12.34,1.1925,12573.59,4608672.5118,33361,20100623180000000
399006.SZ,20100624,1,1047.34,1046.76,1059.75,1041.54,1050.6,3.26,0.3116,10691.32,3904947.8689,33361,20100624180000000
399006.SZ,20100625,1,1050.6,1046.21,1046.21,999.16,1016.28,-34.32,-3.2665,12372.98,4515664.6372,33361,20100625180000000
399006.SZ,20100628,1,1016.28,1009.22,1014.41,984.22,987.83,-28.46,-2.8,9206.73,3463552.1842,33361,20100628180000000
399006.SZ,20100629,1,987.83,985.57,992.23,912.54,913.31,-74.52,-7.5436,14977.99,5293896.897,33361,20100629180000000
399006.SZ,20100630,1,913.31,898.29,921.81,881.36,919.31,6.0,0.6575,12236.61,3852158.5863,33361,20100630180000000
399006.SZ,20100701,1,919.31,914.4,921.21,882.19,882.19,-37.12,-4.0382,10495.72,3663773.7218,33361,20100701180000000
399006.SZ,20100702,1,882.19,878.95,885.34,832.62,873.12,-9.07,-1.0281,12888.33,4212661.7744,33361,20100702180000000
