Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),gsid,gudt
932000.CSI,2013/12/31,1,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,85975.01,10047446.043,44561,20131231180000000
932000.CSI,2014/01/02,1,1000.0,999.14,1016.49,999.14,1016.45,16.45,1.6453,95357.89,10892583.863,44561,20140102180000000
932000.CSI,2014/01/03,1,1016.45,1013.66,1015.77,1009.16,1012.98,-3.47,-0.3415,102109.18,12350598.677,44561,20140103180000000
932000.CSI,2014/01/06,1,1012.98,1010.05,1010.05,982.72,982.86,-30.12,-2.9739,90902.24,10440757.987,44561,20140106180000000
932000.CSI,2014/01/07,1,982.86,978.64,990.75,976.86,990.75,7.89,0.8029,73192.59,8069644.027,44561,20140107180000000
932000.CSI,2014/01/08,1,990.75,991.58,999.98,991.52,996.5,5.75,0.5805,87587.74,10338207.822,44561,20140108180000000
932000.CSI,2014/01/09,1,996.5,994.83,999.32,978.68,978.68,-17.82,-1.7884,87459.66,10231848.282,44561,20140109180000000
932000.CSI,2014/01/10,1,978.68,974.3,974.81,960.05,962.59,-16.09,-1.6441,75192.42,8323573.379,44561,20140110180000000
932000.CSI,2014/01/13,1,962.59,962.42,970.22,958.91,965.75,3.16,0.3283,58276.43,6674440.575,44561,20140113180000000
932000.CSI,2014/01/14,1,965.75,966.13,985.82,965.22,985.82,20.07,2.0786,73274.98,8580763.381,44561,20140114180000000
932000.CSI,2014/01/15,1,985.82,985.44,994.38,985.44,994.38,8.56,0.8686,79245.41,9871135.948,44561,20140115180000000
932000.CSI,2014/01/16,1,994.38,995.43,1001.47,993.28,997.66,3.27,0.3291,89535.52,11314120.958,44561,20140116180000000
932000.CSI,2014/01/17,1,997.66,996.27,999.12,991.41,992.96,-4.7,-0.4708,77537.37,9481575.81,44561,20140117180000000
932000.CSI,2014/01/20,1,992.96,992.0,994.38,981.41,987.69,-5.28,-0.5312,76394.88,9374527.821,44561,20140120180000000
932000.CSI,2014/01/21,1,987.69,986.12,1006.51,986.12,1006.51,18.82,1.9057,82595.92,10428012.468,44561,20140121180000000
932000.CSI,2014/01/22,1,1006.51,1006.68,1024.53,1006.68,1024.53,18.02,1.7907,105744.49,13061038.037,44561,20140122180000000
932000.CSI,2014/01/23,1,1024.53,1023.81,1039.02,1023.81,1036.04,11.5,1.1228,108584.43,13842929.823,44561,20140123180000000
