,"tautocorr(signal,0)","tautocorr(signal,1)","tautocorr(signal,2)","tautocorr(signal,3)","tautocorr(signal,4)","tautocorr(signal,5)","tautocorr(signal,6)","tautocorr(signal,7)","tautocorr(signal,8)","tautocorr(signal,9)","tautocorr(signal,10)",tcount(signal),tmean(signal),tstd(signal),tcount(label),tmean(label),tstd(label),"mycorr(signal,label)"
2004-06-01,,,,,,,,,,,,0,,,0,,,
2004-07-01,,,,,,,,,,,,0,,,0,,,
2004-08-01,,,,,,,,,,,,0,,,0,,,
2004-09-01,,,,,,,,,,,,0,,,0,,,
2004-10-01,,,,,,,,,,,,0,,,0,,,
2004-11-01,,,,,,,,,,,,0,,,0,,,
2004-12-01,,,,,,,,,,,,0,,,0,,,
2005-01-01,,,,,,,,,,,,0,,,0,,,
2005-02-01,,,,,,,,,,,,0,,,0,,,
2005-03-01,,,,,,,,,,,,0,,,0,,,
2005-04-01,,,,,,,,,,,,0,,,0,,,
2005-05-01,,,,,,,,,,,,0,,,0,,,
2005-06-01,,,,,,,,,,,,0,,,0,,,
2005-07-01,,,,,,,,,,,,0,,,0,,,
2005-08-01,,,,,,,,,,,,0,,,0,,,
2005-09-01,,,,,,,,,,,,0,,,0,,,
2005-10-01,,,,,,,,,,,,0,,,0,,,
2005-11-01,,,,,,,,,,,,0,,,0,,,
2005-12-01,,,,,,,,,,,,0,,,0,,,
2006-01-01,,,,,,,,,,,,0,,,0,,,
2006-02-01,,,,,,,,,,,,0,,,0,,,
2006-03-01,,,,,,,,,,,,0,,,0,,,
2006-04-01,,,,,,,,,,,,0,,,0,,,
2006-05-01,,,,,,,,,,,,0,,,0,,,
2006-06-01,,,,,,,,,,,,0,,,0,,,
2006-07-01,,,,,,,,,,,,0,,,0,,,
2006-08-01,,,,,,,,,,,,0,,,0,,,
2006-09-01,,,,,,,,,,,,0,,,0,,,
2006-10-01,,,,,,,,,,,,0,,,0,,,
2006-11-01,,,,,,,,,,,,0,,,0,,,
2006-12-01,,,,,,,,,,,,0,,,0,,,
2007-01-01,,,,,,,,,,,,0,,,0,,,
2007-02-01,,,,,,,,,,,,0,,,0,,,
2007-03-01,,,,,,,,,,,,0,,,0,,,
2007-04-01,,,,,,,,,,,,0,,,0,,,
2007-05-01,,,,,,,,,,,,0,,,0,,,
2007-06-01,,,,,,,,,,,,0,,,0,,,
2007-07-01,,,,,,,,,,,,0,,,0,,,
2007-08-01,,,,,,,,,,,,0,,,0,,,
2007-09-01,,,,,,,,,,,,0,,,0,,,
2007-10-01,,,,,,,,,,,,0,,,0,,,
2007-11-01,,,,,,,,,,,,0,,,0,,,
2007-12-01,,,,,,,,,,,,0,,,0,,,
2008-01-01,,,,,,,,,,,,0,,,0,,,
2008-02-01,,,,,,,,,,,,0,,,0,,,
2008-03-01,,,,,,,,,,,,0,,,0,,,
2008-04-01,,,,,,,,,,,,0,,,0,,,
2008-05-01,,,,,,,,,,,,0,,,0,,,
2008-06-01,,,,,,,,,,,,0,,,0,,,
2008-07-01,,,,,,,,,,,,0,,,0,,,
2008-08-01,,,,,,,,,,,,0,,,0,,,
