,signal,label
count,32941.0,32941.0
mean,0.0002717365196520922,0.00033268870697869606
std,0.0038812057301143175,0.01748962437308594
min,-0.0493224177991689,-0.137325201386032
1%,-0.00981185795460776,-0.05682827552877788
5%,-0.0044811572375561,-0.0276568634813552
10%,-0.0028050447517791,-0.0183708932356703
25%,-0.0011974711649771,-0.0074756934799591
50%,0.0001338811390212,0.0008983104812294
75%,0.0015727187893429,0.0093550262699704
90%,0.0037243416921147,0.0192139423029953
95%,0.0055036347186819,0.0265399671812085
99%,0.010312967900276832,0.04334867017032033
max,0.1427436807556511,0.1645364329807171
skew,4.706952111716339,-0.5329273152591599
kurtosis,154.27769310682066,4.900992808616466
