,whole_market,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2004-06-01,0.29798771298570853,0.29798771298570853,,,,,,,
2004-07-01,-0.2058190535692503,-0.2058190535692503,,,,,,,
2004-08-01,-0.14026954179076162,-0.14026954179076162,,,,,,,
2004-09-01,-0.3116142088840073,-0.3116142088840073,,,,,,,
2004-10-01,-1.0374365757725852,-1.0374365757725852,,,,,,,
2004-11-01,-1.3712615706006472,-1.3712615706006472,,,,,,,
2004-12-01,-1.3739073741096797,-1.3739073741096797,,,,,,,
2005-01-01,-0.9934117305569351,-0.9934117305569351,,,,,,,
2005-02-01,-1.1773556905492903,-1.1773556905492903,,,,,,,
2005-03-01,-1.193808352890753,-1.193808352890753,,,,,,,
2005-04-01,-0.9103964681594714,-0.9103964681594714,,,,,,,
2005-05-01,-0.7812832956917816,-0.7812832956917816,,,,,,,
2005-06-01,-1.1218764042274025,-0.9182439882483943,-0.43925334413770944,-0.3616868061393776,,-0.2854235580339059,-0.4796411418104995,,
2005-07-01,-1.4676459007612201,-1.3911911733330982,-0.8057797492258274,-0.7469067551587951,,-0.6975376133683897,-0.5716810299528647,,
2005-08-01,-1.836891676189611,-1.431533765697017,-1.1707032858808026,-1.022581094267141,,-1.340673335204761,-1.0938337171312074,,
2005-09-01,-2.1323051544843703,-1.727867974579529,-1.3983788709355256,-1.3341483626315696,,-1.71641551954687,-1.3595818619612312,,
2005-10-01,-2.11720294113639,-1.68781207863207,-1.6328235229062797,-1.446378400307797,,-1.4527588132354867,-1.241108707833189,,
2005-11-01,-2.3671968080804637,-1.5961941807587232,-1.7546034989027468,-1.754554709912382,,-2.018456517707932,-1.5870419503534063,,
2005-12-01,-2.371398874313277,-1.4930423132695674,-1.6766181377514322,-1.8077625033725306,,-2.004839780885324,-1.7495984535204019,,
2006-01-01,-2.4758395598710132,-1.6157499497776782,-1.6973399226350225,-1.8332416774911566,,-1.9296358948136447,-2.1780971718704354,,
2006-02-01,-2.636808801522144,-2.0511579586702875,-1.9510141001811725,-2.0279687089240146,,-1.8099020193425095,-2.2188680377256067,,
2006-03-01,-2.6628290398514096,-1.9539227362668272,-2.023293119156343,-2.1582993713348144,,-1.8428853401235643,-2.2106114496083693,,
2006-04-01,-2.7716724200271026,-1.516915792133266,-2.4607733685233297,-2.5393902320730803,,-1.7594328723883577,-2.456716652250349,,
2006-05-01,-2.838825693232336,-1.8769974023151343,-2.346397464984557,-2.3701680166358647,,-1.6456504188821899,-2.8297819805768025,,
2006-06-01,-2.8669535237977297,-2.100019228115625,-2.3131444276971727,-2.4759202906867577,,-1.5387264658812168,-2.7818240238407457,,
2006-07-01,-3.040024748156365,-2.2566687662145184,-2.4939329292386905,-2.6200416205563997,,-1.736081123695769,-2.9682661183093177,,
2006-08-01,-3.0129582741115164,-2.722532881905008,-2.2310030971832804,-2.404509750791802,,-1.634522642658144,-2.947089815252218,,
2006-09-01,-3.1334331006661915,-3.1982269258726026,-2.1618133654212355,-2.3027664695854964,,-1.8996032053501408,-2.979622354334352,,
2006-10-01,-3.1912054808847397,-3.2590055747195144,-2.305852366013333,-2.172247907149891,,-1.9651744845325896,-3.128613889241239,,
2006-11-01,-3.509867546599228,-3.3773385873399917,-2.6282316564127037,-2.3786524375673865,,-2.399020459821224,-3.640961409087704,,
2006-12-01,-3.7362536662055543,-3.754187640171529,-2.9433490333021473,-2.6294635457363156,,-2.4935642223392254,-3.7355707067114237,,
2007-01-01,-4.032658906307914,-3.7855615096261914,-3.263733029967202,-2.9921398246978557,,-2.7020129033111355,-4.294714081170053,,
2007-02-01,-4.341619671182507,-4.048986662496287,-3.4362385242059963,-3.0898091604869893,,-3.2486135848467854,-4.7593172411093425,,
2007-03-01,-4.443797195269406,-4.2722623828247865,-3.514639905471492,-3.0954562453064542,,-3.5204356765333635,-4.6910585834438026,,
2007-04-01,-4.504644004853691,-4.439178262000391,-3.569182899115959,-3.201707186534884,,-3.5779555940794667,-4.61006289977062,,
2007-05-01,-4.492034886198752,-4.178549057714633,-3.5074310600805387,-3.2090341198755765,,-3.8161871141808663,-4.623839896375011,,
2007-06-01,-4.739862590580903,-4.3732594120913575,-4.070535494364378,-3.749757142484114,,-3.6254739631024244,-4.755153758095104,,
2007-07-01,-4.905488213850385,-4.441516865537814,-4.38979978996201,-3.919110587104023,,-3.7077933449558715,-4.944087298925068,,
2007-08-01,-5.045098064483034,-4.415296364565029,-4.490891836649707,-3.9612525342657663,,-4.027091867877633,-5.205824536289896,,
2007-09-01,-5.245401756728131,-4.414699051609299,-4.6283557423121,-4.1624076400667,,-4.400237036587405,-5.49617613029801,,
2007-10-01,-5.101204630105092,-4.645139004632727,-4.61220031809634,-4.119439669307188,,-3.9407293214815513,-5.063381654240511,,
2007-11-01,-5.032839798214955,-4.568806455983555,-4.424240159968788,-3.982982879873567,,-4.0811849191671925,-4.981851393314527,,
2007-12-01,-5.315341455199739,-4.853656541448937,-4.518969864676692,-4.35456070941168,,-4.44457855558427,-5.279808422109973,,
2008-01-01,-5.5610883815695615,-5.116493323196315,-4.857335583545189,-4.490337739559864,,-4.586973677871768,-5.629168400907526,,
2008-02-01,-5.634139615187385,-5.270871518315636,-4.970767840943172,-4.562067507291754,,-4.568704014251728,-5.673154012367489,,
2008-03-01,-5.560463488912652,-5.319293442735943,-4.926395369442419,-4.47984694608256,,-4.209992252111488,-5.741656251423705,,
2008-04-01,-5.275670848760927,-5.0827394297796715,-4.598485473119173,-4.198550730274007,,-3.8210409167526382,-5.552404511112001,,
2008-05-01,-5.507984728707214,-5.4332444931367725,-4.93269564531546,-4.516475135417664,,-3.848932932526837,-5.683442254372192,,
2008-06-01,-5.732252824953427,-5.410234252037714,-5.253684594250327,-4.771084089470495,,-4.014304125850741,-6.086823880390716,,
2008-07-01,-5.816705874638483,-5.655391087956369,-5.1521123620500955,-4.855930667284749,,-4.106247456418296,-6.188714616715763,,
2008-08-01,-6.135883270416488,-6.197573690514927,-5.4269957619772375,-5.278592443560205,,-4.222424514158256,-6.428696759104669,,
2008-09-01,-6.642549346986848,-6.874705765390639,-6.027072668144355,-5.876231780343414,,-4.526846034760432,-6.782757303528254,,
2008-10-01,-6.4700474301921345,-6.7657827465435565,-5.531074124595334,-5.549391344687825,,-4.834870110516556,-6.543985641850257,,
2008-11-01,-6.5605021172844875,-6.542289158025356,-5.568395357514093,-5.764938471233843,,-5.049676696805408,-6.752077720076594,,
2008-12-01,-7.039765747096103,-6.928664207820753,-5.99933967697213,-6.20078457693782,,-5.601418264798419,-7.34348882618425,,
2009-01-01,-7.111503972821804,-6.828584201068922,-5.797654433085371,-6.064629093483251,,-6.037463191127835,-7.7040557625764965,,
2009-02-01,-7.318849855278676,-6.862093865497863,-6.125754997139331,-6.364967407427967,,-6.151802525658725,-7.964497297902347,,
