,signal,label
count,32503.0,32503.0
mean,0.004117810616870661,0.0003543297183484249
std,0.010766933486305455,0.017449906189385436
min,-0.0451471,-0.1373252013860313
1%,-0.01950609082,-0.05690356895719873
5%,-0.0116229568,-0.02755305526404235
10%,-0.008042543599999997,-0.0181531441573893
25%,-0.002684014,-0.007391671719889199
50%,0.0032418184,0.0008977088822246
75%,0.009942351,0.009329919076085502
90%,0.0174407348,0.01914728270712196
95%,0.022873697099999996,0.026464681688152383
99%,0.035633333979999994,0.04333745618633628
max,0.07644624,0.1645364329807171
skew,0.6908155718841593,-0.5412912578866246
kurtosis,2.216477161745046,4.985449647449493
