,count,mean,std,min,5%,50%,95%,max
"tautocorr(signal,1)",1587.0,0.09148054345859057,0.24763554404653482,-0.6540120158437532,-0.32748168899090657,0.10365870777003641,0.5030250154050521,0.7864457352348724
"tautocorr(signal,2)",1587.0,0.024379940378034176,0.22599392513446478,-0.6840873306616159,-0.34325581212419065,0.029041209490344597,0.3893070953406522,0.7571012362966629
"tautocorr(signal,3)",1587.0,-0.016773655577148276,0.2110236101668666,-0.6500031955892718,-0.36152882015293036,-0.013357132736746345,0.31534542632894275,0.6853915062359283
"tautocorr(signal,4)",1587.0,-0.035796664351451846,0.22127246517710697,-0.6313391216278843,-0.3851898070496891,-0.03878353175074085,0.33079597114433046,0.6357707881398065
"tautocorr(signal,5)",1587.0,-0.06459660735243468,0.2340604957156513,-0.6463677945542102,-0.44523644606446583,-0.06885287205562605,0.3226977384696478,0.6821273972193318
"tautocorr(signal,6)",1587.0,-0.06637282149669341,0.22823076354698127,-0.6774613615297702,-0.43562228816061277,-0.07127111046134116,0.3201962015908197,0.6660677514193499
"tautocorr(signal,7)",1587.0,-0.040610279155418684,0.2272951812700717,-0.7072058161886802,-0.41757528812476524,-0.040609615768231,0.34907372814591203,0.6791837136683999
"tautocorr(signal,8)",1587.0,-0.0249415062493922,0.2325676953908675,-0.7821882444506739,-0.3965650829976718,-0.025384345983032762,0.3533212347278128,0.7326611890888453
"tautocorr(signal,9)",1587.0,-0.07018802360923417,0.22985716557860242,-0.7357810142176092,-0.4441716580972555,-0.07530638703658525,0.31370113192472965,0.7537046330579303
"tautocorr(signal,10)",1587.0,-0.0412479957140728,0.23567144701541334,-0.6912662560400729,-0.41925886924629363,-0.05091129583685669,0.36646001796108607,0.7525468589601099
